epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1833,1.0163,3.03112,1.39932,0.00309,1,0.62298,0.4811,0.68515,3.47701,1.12608,0.00015003,0.00015003,0.00015003
2,78.9404,0.77242,1.92102,1.17096,0.00471,1,0.56232,0.37049,0.74847,3.21464,1.07265,0.000313594,0.000313594,0.000313594
3,115.955,0.75291,1.59564,1.10775,0.3822,0.19087,0.33717,0.22712,0.84975,3.17422,1.13114,0.000473858,0.000473858,0.000473858
4,152.911,0.72622,1.43135,1.11981,0.48457,0.30392,0.51164,0.40068,0.84577,2.87722,1.14644,0.000630821,0.000630821,0.000630821
5,189.072,0.78818,1.46056,1.14306,0.63335,0.71891,0.71425,0.49247,0.87824,2.80695,1.19135,0.000784484,0.000784484,0.000784484
6,224.874,0.77803,1.40253,1.12937,0.53088,0.57843,0.61511,0.47959,0.89165,2.71921,1.11834,0.000934845,0.000934845,0.000934845
7,261.192,0.74136,1.24081,1.11213,0.65901,0.36651,0.51068,0.34631,1.10498,2.96578,1.40668,0.00108191,0.00108191,0.00108191
8,297.026,0.70157,1.1789,1.06328,0.55104,0.44268,0.38427,0.27829,1.10223,4.84041,1.37798,0.00122567,0.00122567,0.00122567
9,333.221,0.72219,1.18171,1.08834,0.76093,0.66667,0.76968,0.58574,1.19184,2.63127,1.525,0.00136613,0.00136613,0.00136613
10,368.802,0.78374,1.17855,1.11674,0.51005,0.44118,0.50424,0.32825,1.48277,3.32355,1.85656,0.00150329,0.00150329,0.00150329
11,404.495,0.75461,1.13813,1.10802,0.53913,0.65349,0.61176,0.45992,1.07839,3.87879,1.47223,0.00150197,0.00150197,0.00150197
12,440.616,0.69667,1.09603,1.05811,0.58853,0.63228,0.67088,0.50378,1.04222,2.79506,1.2712,0.00148546,0.00148546,0.00148546
13,476.09,0.68731,1.01574,1.06365,0.56682,0.83824,0.78553,0.58905,0.83586,2.31784,1.10603,0.00146896,0.00146896,0.00146896
14,512.542,0.7195,1.04276,1.10366,0.56895,0.58675,0.54251,0.41626,0.85554,2.09751,1.11721,0.00145246,0.00145246,0.00145246
15,549.147,0.72099,0.9816,1.06489,0.79226,0.63235,0.65397,0.47872,1.09831,1.84988,1.30312,0.00143595,0.00143595,0.00143595
16,584.952,0.66868,0.89447,1.04608,0.79459,0.84007,0.79449,0.53189,0.80234,1.65266,1.08722,0.00141945,0.00141945,0.00141945
17,620.647,0.67976,0.87275,1.03312,0.69382,0.82843,0.74379,0.58987,0.86905,2.61508,1.23059,0.00140295,0.00140295,0.00140295
18,655.9,0.64519,0.83857,1.04642,0.85594,0.74504,0.92632,0.81301,0.74369,1.65353,1.04062,0.00138644,0.00138644,0.00138644
19,691.963,0.67742,0.85329,1.03439,0.83055,0.87542,0.94317,0.78955,0.76971,1.3621,1.11004,0.00136994,0.00136994,0.00136994
20,727.528,0.66893,0.81564,1.03404,0.53245,0.80882,0.69868,0.58783,0.72285,2.60638,1.11015,0.00135344,0.00135344,0.00135344
21,763.782,0.62312,0.81024,1.0452,0.53835,0.56373,0.66838,0.56749,0.76641,3.22211,1.14389,0.00133693,0.00133693,0.00133693
22,799.186,0.66858,0.79908,1.06066,0.96552,0.67067,0.90833,0.77344,0.6834,1.32217,0.99329,0.00132043,0.00132043,0.00132043
